0,0
1,1
2,2
3,3
4,4
5,0
6,1
7,2
8,3
9,4
10,0
11,1
12,2
13,3
14,4
15,0
16,1
17,2
18,3
19,4
20,0
21,1
22,2
23,3
24,4
25,0
26,1
27,2
28,3
29,4
30,0
31,1
32,2
33,3
34,4
35,0
36,1
37,2
38,3
39,4
40,0
41,1
42,2
43,3
44,4
45,0
46,1
47,2
48,3
49,4
50,0
51,1
52,2
53,3
54,4
55,0
56,1
57,2
58,3
59,4
60,0
61,1
62,2
63,3
64,4
65,0
66,1
67,2
68,3
69,4
70,0
71,1
72,2
73,3
74,4
75,0
76,1
77,2
78,3
79,4
80,0
81,1
82,2
83,3
84,4
85,0
86,1
87,2
88,3
89,4
90,0
91,1
92,2
93,3
94,4
95,0
96,1
97,2
98,3
99,4
100,0
101,1
102,2
103,3
104,4
105,0
106,1
107,2
108,3
109,4
110,0
111,1
112,2
113,3
114,4
115,0
116,1
117,2
118,3
119,4
120,0
121,1
122,2
123,3
124,4
125,0
126,1
127,2
128,3
129,4
130,0
131,1
132,2
133,3
134,4
135,0
136,1
137,2
138,3
139,4
140,0
141,1
142,2
143,3
144,4
145,0
146,1
147,2
148,3
149,4
150,0
151,1
152,2
153,3
154,4
155,0
156,1
157,2
158,3
159,4
160,0
161,1
162,2
163,3
164,4
165,0
166,1
167,2
168,3
169,4
170,0
171,1
172,2
173,3
174,4
175,0
176,1
177,2
178,3
179,4
180,0
181,1
182,2
183,3
184,4
185,0
186,1
187,2
188,3
189,4
190,0
191,1
192,2
193,3
194,4
195,0
196,1
197,2
198,3
199,4
200,0
201,1
202,2
203,3
204,4
205,0
206,1
207,2
208,3
209,4
210,0
211,1
212,2
213,3
214,4
215,0
216,1
217,2
218,3
219,4
220,0
221,1
222,2
223,3
224,4
225,0
226,1
227,2
228,3
229,4
230,0
231,1
232,2
233,3
234,4
235,0
236,1
237,2
238,3
239,4
240,0
241,1
242,2
243,3
244,4
245,0
246,1
247,2
248,3
249,4
250,0
251,1
252,2
253,3
254,4
255,0
256,1
257,2
258,3
259,4
260,0
261,1
262,2
263,3
264,4
265,0
266,1
267,2
268,3
269,4
270,0
271,1
272,2
273,3
274,4
275,0
276,1
277,2
278,3
279,4
280,0
281,1
282,2
283,3
284,4
285,0
286,1
287,2
288,3
289,4
290,0
291,1
292,2
293,3
294,4
295,0
296,1
297,2
298,3
299,4
300,0
301,1
302,2
303,3
304,4
305,0
306,1
307,2
308,3
309,4
310,0
311,1
312,2
313,3
314,4
315,0
316,1
317,2
318,3
319,4
320,0
321,1
322,2
323,3
324,4
325,0
326,1
327,2
328,3
329,4
330,0
331,1
332,2
333,3
334,4
335,0
336,1
337,2
338,3
339,4
340,0
341,1
342,2
343,3
344,4
345,0
346,1
347,2
348,3
349,4
350,0
351,1
352,2
353,3
354,4
355,0
356,1
357,2
358,3
359,4
360,0
361,1
362,2
363,3
364,4
365,0
366,1
367,2
368,3
369,4
370,0
371,1
372,2
373,3
374,4
375,0
376,1
377,2
378,3
379,4
380,0
381,1
382,2
383,3
384,4
385,0
386,1
387,2
388,3
389,4
390,0
391,1
392,2
393,3
394,4
395,0
396,1
397,2
398,3
399,4
400,0
401,1
402,2
403,3
404,4
405,0
406,1
407,2
408,3
409,4
410,0
411,1
412,2
413,3
414,4
415,0
416,1
417,2
418,3
419,4
420,0
421,1
422,2
423,3
424,4
425,0
426,1
427,2
428,3
429,4
430,0
431,1
432,2
433,3
434,4
435,0
436,1
437,2
438,3
439,4
440,0
441,1
442,2
443,3
444,4
445,0
446,1
447,2
448,3
449,4
450,0
451,1
452,2
453,3
454,4
455,0
456,1
457,2
458,3
459,4
460,0
461,1
462,2
463,3
464,4
465,0
466,1
467,2
468,3
469,4
470,0
471,1
472,2
473,3
474,4
475,0
476,1
477,2
478,3
479,4
480,0
481,1
482,2
483,3
484,4
485,0
486,1
487,2
488,3
489,4
490,0
491,1
492,2
493,3
494,4
495,0
496,1
497,2
498,3
499,4
500,0
501,1
502,2
503,3
504,4
505,0
506,1
507,2
508,3
509,4
510,0
511,1
512,2
513,3
514,4
515,0
516,1
517,2
518,3
519,4
520,0
521,1
522,2
523,3
524,4
525,0
526,1
527,2
528,3
529,4
530,0
531,1
532,2
533,3
534,4
535,0
536,1
537,2
538,3
539,4
540,0
541,1
542,2
543,3
544,4
545,0
546,1
547,2
548,3
549,4
550,0
551,1
552,2
553,3
554,4
555,0
556,1
557,2
558,3
559,4
560,0
561,1
562,2
563,3
564,4
565,0
566,1
567,2
568,3
569,4
570,0
571,1
